# timestamp,qname,qtype,rcode,src_ip
2026-06-24T14:00:13.692635,img.github.com,CNAME,NOERROR,192.168.1.20
2026-06-24T14:00:20.583190,login.icloud.com,A,NOERROR,10.0.0.5
2026-06-24T14:00:22.705234,akamai.net,AAAA,NOERROR,192.168.1.11
2026-06-24T14:00:35.677032,www.microsoft.com,A,NOERROR,192.168.1.11
2026-06-24T14:00:39.911005,img.gstatic.com,A,NOERROR,192.168.1.20
2026-06-24T14:00:40.433376,mail.amazonaws.com,AAAA,NOERROR,10.0.0.5
2026-06-24T14:00:48.806190,analytics.cloudflare.com,CNAME,NOERROR,192.168.1.20
2026-06-24T14:01:09.903592,www.office365.com,A,NOERROR,192.168.1.20
2026-06-24T14:01:17.168851,m.apple.com,CNAME,NOERROR,192.168.1.10
2026-06-24T14:01:30.317783,m.office365.com,A,NOERROR,192.168.1.20
2026-06-24T14:01:42.727695,cdn.github.com,AAAA,NOERROR,192.168.1.11
2026-06-24T14:01:44.690668,analytics.fastly.net,CNAME,NXDOMAIN,192.168.1.11
2026-06-24T14:02:00.311491,push.microsoft.com,CNAME,NOERROR,192.168.1.20
2026-06-24T14:02:33.755363,cdn.akamai.net,A,NOERROR,10.0.0.5
2026-06-24T14:02:35.208614,m.amazonaws.com,CNAME,NXDOMAIN,192.168.1.10
2026-06-24T14:02:42.788271,m.office365.com,CNAME,NOERROR,10.0.0.5
2026-06-24T14:02:53.300826,mail.akamai.net,AAAA,NOERROR,10.0.0.5
2026-06-24T14:03:02.439386,gstatic.com,A,NOERROR,192.168.1.10
2026-06-24T14:03:07.603673,cdn.icloud.com,A,NOERROR,10.0.0.5
2026-06-24T14:03:09.889950,img.office365.com,A,NOERROR,192.168.1.20
2026-06-24T14:03:28.233444,m.microsoft.com,A,NOERROR,192.168.1.20
2026-06-24T14:03:38.581151,login.microsoft.com,AAAA,NOERROR,192.168.1.10
2026-06-24T14:03:47.548655,mail.akamai.net,A,NOERROR,192.168.1.11
2026-06-24T14:04:03.565571,mail.icloud.com,A,NOERROR,192.168.1.11
2026-06-24T14:04:34.194456,login.cloudflare.com,CNAME,NOERROR,10.0.0.5
2026-06-24T14:04:39.997780,analytics.fastly.net,A,NOERROR,192.168.1.11
2026-06-24T14:04:45.675307,static.akamai.net,A,NOERROR,192.168.1.20
2026-06-24T14:04:59.804016,cdn.akamai.net,A,NOERROR,192.168.1.11
2026-06-24T14:05:10.669617,update.gstatic.com,CNAME,NOERROR,192.168.1.10
2026-06-24T14:05:13.175480,mail.icloud.com,AAAA,NOERROR,192.168.1.20
2026-06-24T14:05:17.509908,analytics.apple.com,CNAME,NOERROR,192.168.1.20
2026-06-24T14:05:31.810321,api.microsoft.com,A,NOERROR,192.168.1.20
2026-06-24T14:05:36.154738,static.cloudflare.com,A,NOERROR,10.0.0.5
2026-06-24T14:06:03.858666,login.gstatic.com,A,NOERROR,192.168.1.20
2026-06-24T14:06:13.328660,login.icloud.com,A,NOERROR,192.168.1.10
2026-06-24T14:06:39.721153,fastly.net,A,NOERROR,192.168.1.10
2026-06-24T14:06:52.143780,analytics.icloud.com,CNAME,NOERROR,192.168.1.20
2026-06-24T14:06:55.556118,analytics.office365.com,CNAME,NOERROR,192.168.1.20
2026-06-24T14:06:58.072520,login.cloudflare.com,CNAME,NOERROR,192.168.1.11
2026-06-24T14:07:01.806617,img.fastly.net,A,NOERROR,10.0.0.5
2026-06-24T14:07:12.962673,update.microsoft.com,A,NOERROR,192.168.1.10
2026-06-24T14:07:17.307577,api.github.com,CNAME,NOERROR,192.168.1.20
2026-06-24T14:07:25.188658,update.microsoft.com,A,NOERROR,192.168.1.10
2026-06-24T14:07:26.534745,cdn.microsoft.com,AAAA,NOERROR,192.168.1.20
2026-06-24T14:07:27.029664,m.cloudflare.com,CNAME,NOERROR,192.168.1.20
2026-06-24T14:07:31.536749,img.akamai.net,A,NOERROR,10.0.0.5
2026-06-24T14:07:40.129477,m.microsoft.com,A,NOERROR,192.168.1.11
2026-06-24T14:07:42.792836,mail.fastly.net,A,NOERROR,192.168.1.11
2026-06-24T14:07:46.737300,push.apple.com,CNAME,NOERROR,10.0.0.5
2026-06-24T14:07:51.130837,mail.office365.com,AAAA,NOERROR,192.168.1.11
2026-06-24T14:07:51.139251,static.amazonaws.com,A,NOERROR,10.0.0.5
2026-06-24T14:07:57.674395,m.gstatic.com,CNAME,NOERROR,192.168.1.10
2026-06-24T14:08:00.441628,m.amazonaws.com,A,NOERROR,10.0.0.5
2026-06-24T14:08:25.016724,login.google.com,CNAME,NOERROR,192.168.1.11
2026-06-24T14:08:32.805783,api.google.com,CNAME,NOERROR,192.168.1.11
2026-06-24T14:08:41.297279,m.fastly.net,A,NOERROR,10.0.0.5
2026-06-24T14:08:50.109074,m.office365.com,AAAA,NOERROR,10.0.0.5
2026-06-24T14:08:53.765495,login.office365.com,A,NOERROR,10.0.0.5
2026-06-24T14:09:07.156905,cdn.microsoft.com,A,NOERROR,192.168.1.10
2026-06-24T14:09:11.726941,img.gstatic.com,A,NOERROR,192.168.1.20
2026-06-24T14:09:17.812896,static.akamai.net,A,NOERROR,10.0.0.5
2026-06-24T14:09:19.133341,update.amazonaws.com,A,NOERROR,192.168.1.11
2026-06-24T14:09:28.466029,analytics.icloud.com,A,NOERROR,192.168.1.20
2026-06-24T14:09:36.507813,google.com,A,NOERROR,192.168.1.10
2026-06-24T14:09:53.585166,analytics.akamai.net,AAAA,NOERROR,192.168.1.20
2026-06-24T14:09:55.372460,cdn.cloudflare.com,CNAME,NOERROR,10.0.0.5
2026-06-24T14:09:57.797991,api.amazonaws.com,A,NOERROR,10.0.0.5
2026-06-24T14:09:58.984535,static.google.com,CNAME,NOERROR,10.0.0.5
2026-06-24T14:10:15.287139,static.fastly.net,CNAME,NOERROR,10.0.0.5
2026-06-24T14:10:25.994307,update.icloud.com,AAAA,NOERROR,192.168.1.11
2026-06-24T14:10:30.143233,mail.amazonaws.com,A,NOERROR,192.168.1.11
2026-06-24T14:10:46.992623,api.fastly.net,A,NOERROR,192.168.1.20
2026-06-24T14:11:04.425318,microsoft.com,CNAME,NOERROR,192.168.1.11
2026-06-24T14:11:05.787298,push.amazonaws.com,A,NOERROR,192.168.1.10
2026-06-24T14:11:20.956795,login.github.com,A,NXDOMAIN,192.168.1.20
2026-06-24T14:11:32.253318,static.icloud.com,AAAA,NOERROR,192.168.1.20
2026-06-24T14:11:41.628239,img.icloud.com,A,NOERROR,10.0.0.5
2026-06-24T14:11:47.950874,m.akamai.net,A,NOERROR,10.0.0.5
2026-06-24T14:11:48.779738,push.icloud.com,A,NOERROR,10.0.0.5
2026-06-24T14:12:10.980564,www.fastly.net,A,NOERROR,192.168.1.11
2026-06-24T14:12:13.369796,img.gstatic.com,AAAA,NOERROR,192.168.1.10
2026-06-24T14:12:15.052981,mail.office365.com,A,NOERROR,192.168.1.20
2026-06-24T14:12:18.321481,amazonaws.com,AAAA,NOERROR,192.168.1.20
2026-06-24T14:12:29.082275,login.fastly.net,AAAA,NOERROR,192.168.1.10
2026-06-24T14:12:32.294558,update.gstatic.com,CNAME,NOERROR,192.168.1.10
2026-06-24T14:12:42.782152,update.gstatic.com,A,NXDOMAIN,192.168.1.10
2026-06-24T14:12:45.951555,api.gstatic.com,A,NXDOMAIN,192.168.1.11
2026-06-24T14:12:47.412473,login.icloud.com,A,NOERROR,10.0.0.5
2026-06-24T14:12:59.293240,cdn.github.com,AAAA,NOERROR,10.0.0.5
2026-06-24T14:13:02.697699,img.google.com,AAAA,NOERROR,192.168.1.10
2026-06-24T14:13:11.201390,apple.com,A,NOERROR,192.168.1.11
2026-06-24T14:13:12.182189,api.office365.com,A,NOERROR,192.168.1.11
2026-06-24T14:13:28.059423,m.fastly.net,CNAME,NOERROR,192.168.1.11
2026-06-24T14:13:40.833234,cdn.gstatic.com,CNAME,NOERROR,192.168.1.10
2026-06-24T14:13:41.723434,m.cloudflare.com,CNAME,NOERROR,10.0.0.5
2026-06-24T14:13:53.402772,cdn.google.com,AAAA,NOERROR,192.168.1.20
2026-06-24T14:14:00.217145,www.gstatic.com,CNAME,NOERROR,192.168.1.20
2026-06-24T14:14:55.277091,cdn.gstatic.com,AAAA,NOERROR,192.168.1.20
2026-06-24T14:14:56.190405,login.apple.com,AAAA,NOERROR,10.0.0.5
2026-06-24T14:15:03.699687,api.akamai.net,A,NOERROR,192.168.1.10
2026-06-24T14:15:07.199355,api.microsoft.com,A,NOERROR,192.168.1.10
2026-06-24T14:15:09.253848,mail.cloudflare.com,A,NOERROR,192.168.1.10
2026-06-24T14:15:12.913051,api.cloudflare.com,A,NOERROR,192.168.1.10
2026-06-24T14:15:42.851488,api.amazonaws.com,CNAME,NOERROR,192.168.1.11
2026-06-24T14:15:52.544736,m.office365.com,AAAA,NOERROR,10.0.0.5
2026-06-24T14:16:00.410264,www.google.com,A,NOERROR,10.0.0.5
2026-06-24T14:16:17.288451,static.cloudflare.com,CNAME,NOERROR,192.168.1.20
2026-06-24T14:16:18.441343,api.amazonaws.com,A,NOERROR,192.168.1.11
2026-06-24T14:16:23.587257,push.gstatic.com,A,NOERROR,192.168.1.11
2026-06-24T14:16:25.636591,cdn.microsoft.com,CNAME,NOERROR,192.168.1.11
2026-06-24T14:16:25.882241,mail.fastly.net,A,NOERROR,192.168.1.20
2026-06-24T14:16:41.443737,cdn.gstatic.com,CNAME,NXDOMAIN,192.168.1.11
2026-06-24T14:16:45.542479,img.github.com,A,NOERROR,10.0.0.5
2026-06-24T14:16:48.303032,cdn.akamai.net,AAAA,NOERROR,192.168.1.11
2026-06-24T14:16:48.835688,login.fastly.net,AAAA,NOERROR,10.0.0.5
2026-06-24T14:17:11.995500,google.com,CNAME,NOERROR,192.168.1.20
2026-06-24T14:17:24.733067,www.amazonaws.com,A,NOERROR,192.168.1.20
2026-06-24T14:17:54.340865,update.icloud.com,CNAME,NOERROR,192.168.1.10
2026-06-24T14:18:02.876418,m.gstatic.com,CNAME,NOERROR,192.168.1.10
2026-06-24T14:18:29.645749,static.apple.com,A,NOERROR,192.168.1.20
2026-06-24T14:18:30.439063,update.fastly.net,A,NOERROR,192.168.1.20
2026-06-24T14:18:42.455113,m.microsoft.com,A,NOERROR,192.168.1.11
2026-06-24T14:18:45.833551,www.icloud.com,AAAA,NOERROR,10.0.0.5
2026-06-24T14:18:55.135120,static.github.com,A,NOERROR,192.168.1.10
2026-06-24T14:19:04.601347,analytics.microsoft.com,AAAA,NOERROR,10.0.0.5
2026-06-24T14:19:06.785854,analytics.akamai.net,A,NOERROR,192.168.1.11
2026-06-24T14:19:09.899135,push.fastly.net,A,NOERROR,192.168.1.20
2026-06-24T14:19:18.496991,office365.com,A,NOERROR,10.0.0.5
2026-06-24T14:19:35.674215,m.github.com,A,NOERROR,192.168.1.10
2026-06-24T14:19:40.740536,update.icloud.com,A,NOERROR,192.168.1.20
2026-06-24T14:19:45.229389,mail.google.com,CNAME,NOERROR,10.0.0.5
2026-06-24T14:19:46.440041,analytics.fastly.net,A,NOERROR,10.0.0.5
2026-06-24T14:20:00.188699,api.microsoft.com,A,NOERROR,192.168.1.10
2026-06-24T14:20:09.928321,img.office365.com,A,NOERROR,192.168.1.10
2026-06-24T14:20:20.133931,apple.com,A,NOERROR,192.168.1.11
2026-06-24T14:20:28.997192,update.microsoft.com,AAAA,NOERROR,192.168.1.11
2026-06-24T14:20:29.767716,static.github.com,A,NOERROR,10.0.0.5
2026-06-24T14:20:43.498851,img.amazonaws.com,AAAA,NOERROR,192.168.1.20
2026-06-24T14:20:48.274976,www.microsoft.com,CNAME,NOERROR,192.168.1.11
2026-06-24T14:20:54.188923,www.icloud.com,A,NOERROR,10.0.0.5
2026-06-24T14:21:08.988418,m.github.com,A,NOERROR,192.168.1.11
2026-06-24T14:21:19.932567,github.com,AAAA,NOERROR,192.168.1.11
2026-06-24T14:21:30.611067,mail.cloudflare.com,AAAA,NOERROR,192.168.1.20
2026-06-24T14:21:33.390915,update.amazonaws.com,A,NOERROR,192.168.1.10
2026-06-24T14:21:41.063111,analytics.office365.com,CNAME,NOERROR,192.168.1.11
2026-06-24T14:21:44.543829,login.icloud.com,AAAA,NOERROR,192.168.1.11
2026-06-24T14:21:47.457369,login.gstatic.com,A,NOERROR,192.168.1.10
2026-06-24T14:21:49.030480,api.microsoft.com,A,NOERROR,192.168.1.11
2026-06-24T14:21:58.094607,img.google.com,CNAME,NOERROR,10.0.0.5
2026-06-24T14:22:01.779350,analytics.office365.com,AAAA,NOERROR,192.168.1.20
2026-06-24T14:22:06.912828,gstatic.com,A,NOERROR,192.168.1.11
2026-06-24T14:22:20.697722,push.akamai.net,A,NOERROR,192.168.1.20
2026-06-24T14:22:28.704817,cdn.akamai.net,A,NOERROR,192.168.1.11
2026-06-24T14:22:41.761427,push.google.com,CNAME,NOERROR,192.168.1.20
2026-06-24T14:22:51.460701,static.akamai.net,A,NOERROR,192.168.1.11
2026-06-24T14:22:56.136239,login.github.com,AAAA,NOERROR,192.168.1.11
2026-06-24T14:22:57.094260,mail.akamai.net,AAAA,NOERROR,192.168.1.10
2026-06-24T14:22:59.628052,update.apple.com,A,NOERROR,192.168.1.11
2026-06-24T14:23:08.790741,analytics.github.com,A,NOERROR,192.168.1.20
2026-06-24T14:23:24.572136,update.amazonaws.com,A,NOERROR,192.168.1.20
2026-06-24T14:23:28.660270,analytics.icloud.com,CNAME,NOERROR,192.168.1.10
2026-06-24T14:23:56.562850,www.microsoft.com,A,NOERROR,192.168.1.11
2026-06-24T14:23:58.311499,m.gstatic.com,A,NOERROR,192.168.1.10
2026-06-24T14:24:03.709927,m.microsoft.com,AAAA,NOERROR,192.168.1.20
2026-06-24T14:24:06.860294,cloudflare.com,A,NOERROR,192.168.1.20
2026-06-24T14:24:49.007039,m.cloudflare.com,A,NOERROR,192.168.1.10
2026-06-24T14:24:56.172636,analytics.google.com,A,NOERROR,192.168.1.11
2026-06-24T14:25:06.305767,update.amazonaws.com,A,NOERROR,192.168.1.10
2026-06-24T14:25:08.496021,analytics.gstatic.com,A,NOERROR,192.168.1.11
2026-06-24T14:25:39.736755,img.microsoft.com,A,NOERROR,10.0.0.5
2026-06-24T14:25:40.698267,mail.icloud.com,A,NOERROR,192.168.1.20
2026-06-24T14:25:45.671530,fastly.net,AAAA,NOERROR,10.0.0.5
2026-06-24T14:25:46.025543,push.microsoft.com,A,NOERROR,192.168.1.20
2026-06-24T14:26:21.724436,www.amazonaws.com,A,NOERROR,192.168.1.20
2026-06-24T14:26:25.840285,cdn.icloud.com,A,NOERROR,10.0.0.5
2026-06-24T14:26:27.141183,mail.github.com,CNAME,NOERROR,192.168.1.20
2026-06-24T14:26:28.312086,www.gstatic.com,A,NOERROR,192.168.1.10
2026-06-24T14:26:32.801228,push.cloudflare.com,CNAME,NOERROR,192.168.1.20
2026-06-24T14:26:38.341637,static.gstatic.com,A,NOERROR,192.168.1.11
2026-06-24T14:26:55.093464,www.fastly.net,A,NOERROR,192.168.1.11
2026-06-24T14:27:09.004352,login.google.com,A,NOERROR,192.168.1.10
